site,site_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Kittanning,420050001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Beaver Falls,420070014,24.0,29.3,37.6,44.7,49.6,51.7,54.8,59.5,61.2,55.7,48.2,45.7,42.1,30.3,25.0,22.8,19.0,16.3,14.9,12.5,16.6,21.8,31.3,35.6
Beaver Falls,420070014,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Reading Airport,420110011,161.4,152.3,148.3,144.5,146.5,146.5,147.9,138.0,124.2,105.0,124.5,92.5,168.1,171.8,215.1,225.0,199.0,179.0,208.5,326.6,418.3,406.6,382.1,373.5
Reading Airport,420110011,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Altoona,420130801,58.2,79.5,98.0,97.9,102.0,106.7,103.2,101.2,97.0,85.0,75.0,60.7,55.7,49.5,43.1,30.0,30.6,42.1,53.7,45.6,46.2,81.9,108.2,107.4
Altoona,420130801,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Towanda,420150011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Towanda,420150011,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Johnstown,420210011,18.3,18.6,19.5,19.5,19.8,20.1,21.3,22.8,25.8,28.6,33.1,66.4,59.7,53.7,48.0,42.1,35.3,32.6,29.8,29.1,27.6,27.8,27.5,30.3
Johnstown,420210011,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
State College,420270100,135.0,134.0,130.5,124.0,118.2,115.9,115.5,111.2,104.2,100.5,111.2,84.4,75.5,96.9,80.2,162.0,210.6,137.8,116.2,109.7,125.0,144.0,159.9,160.6
State College,420270100,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
New Garden,420290100,153.8,155.8,155.5,154.4,154.8,154.9,152.6,146.9,127.7,103.0,98.0,97.0,82.4,89.4,81.0,84.0,122.2,183.9,203.6,211.5,212.6,212.5,247.0,332.1
New Garden,420290100,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Carlisle,420410101,148.3,149.3,150.0,143.6,142.5,141.5,139.9,131.5,115.4,95.2,94.9,77.9,76.5,81.7,81.5,76.7,73.0,61.8,53.2,54.3,134.8,148.3,250.9,324.5
Carlisle,420410101,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Harrisburg,420430401,164.9,167.4,172.0,168.9,160.9,159.1,153.5,139.9,125.5,108.2,110.5,108.2,99.2,98.5,100.2,92.2,80.5,82.5,82.2,106.2,179.6,221.9,304.3,359.8
Harrisburg,420430401,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Chester,420450002,162.0,160.5,161.0,160.5,160.5,161.6,163.6,157.6,139.0,107.9,98.2,108.7,96.5,96.5,98.7,137.8,181.4,241.5,244.0,241.3,242.6,318.3,423.0,401.5
Chester,420450002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Marcus Hook,420450109,163.3,161.0,159.4,159.4,159.5,162.0,163.5,156.1,138.3,107.0,98.5,108.5,101.7,87.9,88.7,106.0,170.3,248.8,249.0,238.4,240.1,289.3,407.0,389.8
Marcus Hook,420450109,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Erie,420490003,51.5,55.0,53.2,55.2,50.1,51.6,47.0,42.2,26.5,17.8,18.3,18.0,20.1,26.5,37.8,38.1,25.0,19.5,22.3,31.8,41.5,37.2,31.8,36.7
Erie,420490003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Holbrook,420590002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Holbrook,420590002,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Strongstown,420630004,22.6,47.6,61.5,43.3,45.2,35.2,32.7,30.1,27.6,43.3,65.7,67.5,60.6,51.5,42.7,33.3,29.3,31.0,28.5,26.1,26.8,45.0,68.7,84.0
Strongstown,420630004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Scranton,420692006,138.9,135.9,137.6,136.4,136.0,134.0,133.3,128.0,124.7,135.8,172.0,249.5,308.8,338.3,344.6,357.5,324.0,265.5,266.6,264.1,248.0,242.5,229.6,214.3
Scranton,420692006,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Lancaster,420710007,176.8,171.5,161.6,160.1,160.5,165.1,164.9,158.4,133.0,107.4,106.0,98.2,96.5,90.5,94.5,112.4,142.3,114.5,80.7,79.4,99.0,163.5,263.6,316.8
Lancaster,420710007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Lancaster DW,420710012,247.0,241.0,227.8,228.0,223.1,220.9,218.3,225.8,222.4,170.5,153.1,134.8,145.5,125.2,140.3,218.6,249.9,259.8,179.1,129.4,127.5,300.6,470.3,516.8
Lancaster DW,420710012,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Allentown,420770004,132.8,134.8,138.8,139.8,140.8,138.1,132.5,123.2,106.4,108.7,128.1,151.0,282.0,360.6,378.8,414.5,424.1,437.6,422.6,359.3,317.8,285.8,246.9,238.1
Allentown,420770004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Farrell,420850100,25.5,29.5,30.5,29.8,28.8,27.6,27.1,27.1,27.0,28.0,26.8,20.1,16.0,13.3,10.5,10.4,9.5,8.4,10.8,16.6,22.3,23.6,20.6,22.3
Farrell,420850100,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Norristown,420910013,149.6,149.0,150.4,150.4,151.5,151.6,147.8,144.1,129.0,109.0,97.2,99.4,102.7,138.6,197.5,206.0,226.8,233.0,224.3,253.5,439.0,440.6,391.1,365.3
Norristown,420910013,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Freemansburg,420950025,131.9,130.9,132.3,134.5,134.5,136.1,130.9,120.9,106.4,104.9,126.0,155.4,310.3,398.3,452.6,470.8,465.6,440.1,430.5,347.8,308.3,301.3,297.6,292.3
Freemansburg,420950025,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
LABP,421010004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
LABP,421010004,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
NEW,421010048,148.0,146.3,150.4,148.5,151.8,156.0,159.5,149.3,126.0,111.9,108.5,112.4,100.7,110.2,163.0,215.0,227.1,227.4,243.5,287.3,478.0,432.3,384.8,350.5
NEW,421010048,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
RIT,421010055,146.7,148.2,150.8,148.0,148.4,147.8,151.1,139.1,119.2,100.0,102.6,105.3,100.6,93.3,124.0,177.4,206.9,226.6,243.5,210.1,327.2,388.2,349.1,295.3
RIT,421010055,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
FAB,421010057,152.7,150.1,147.0,149.4,151.5,149.5,153.4,147.2,129.9,115.8,104.4,109.7,98.1,99.4,144.3,200.0,228.5,226.4,242.9,231.1,441.9,434.2,388.7,345.7
FAB,421010057,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
TOR,421010075,169.1,168.0,167.0,160.5,169.7,164.3,165.5,160.2,134.0,114.1,118.0,131.2,116.8,129.4,206.8,277.9,272.8,286.7,285.5,488.8,510.1,481.4,412.9,366.5
TOR,421010075,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
MON,421010076,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
MON,421010076,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Tioga County,421174000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Tioga County,421174000,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Charleroi,421250005,30.0,28.1,26.8,28.1,28.6,31.0,33.7,34.6,41.8,49.2,56.8,65.0,66.0,64.9,56.2,46.5,41.8,34.8,30.1,24.6,21.1,19.8,20.8,18.8
Charleroi,421250005,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Florence,421255001,20.0,19.0,19.1,20.0,21.6,24.6,28.0,27.6,34.2,48.7,49.7,51.2,45.3,37.7,33.8,26.1,21.1,20.3,19.1,14.5,11.8,11.0,13.0,20.3
Florence,421255001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Houston,421255200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Houston,421255200,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Greensburg,421290008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Greensburg,421290008,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
York,421330008,167.1,163.1,160.1,160.5,159.4,159.3,159.5,153.6,134.9,106.5,100.7,84.5,75.5,72.2,79.7,90.7,81.5,78.7,76.9,74.0,71.5,73.5,110.5,221.9
York,421330008,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
W Greenwich,440030002,44.0,42.0,41.0,37.0,31.0,30.0,32.0,31.0,32.0,30.0,27.0,37.0,55.0,55.0,70.0,63.0,40.0,27.0,26.0,31.0,28.0,29.0,29.0,26.0
W Greenwich,440030002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
CCRI Providence,440070022,28.0,28.0,35.0,33.0,33.0,38.0,32.0,35.0,25.0,23.0,22.0,29.0,24.0,29.0,27.0,36.0,33.0,20.0,21.0,25.0,18.0,22.0,23.0,14.0
CCRI Providence,440070022,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
E Providence,440071010,33.0,29.0,38.0,37.0,34.0,37.0,38.0,33.0,27.0,22.0,30.0,32.0,29.0,34.0,33.0,31.0,18.0,19.0,26.0,23.0,21.0,19.0,20.0,21.0
E Providence,440071010,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Narragansett,440090007,44.0,42.0,39.0,36.0,34.0,41.0,36.0,32.0,28.0,22.0,26.0,32.0,43.0,51.0,60.0,64.0,59.0,52.0,24.0,24.0,33.0,25.0,21.0,25.0
Narragansett,440090007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Cape Romain,450190046,16.1,14.9,13.3,12.5,13.1,15.4,17.3,18.3,9.9,0.0,0.0,0.0,0.0,23.3,17.6,16.8,17.0,14.8,14.5,14.0,13.6,14.1,13.5,11.5
Cape Romain,450190046,G,G,G,G,G,G,G,G,B,B,B,B,B,G,G,G,G,G,G,G,G,G,G,G
Chesterfield,450250001,26.1,28.1,29.1,27.3,25.6,24.6,22.5,22.6,28.1,33.0,31.8,28.8,25.1,24.1,26.3,27.8,24.6,24.6,20.3,18.6,16.3,16.1,15.8,15.4
Chesterfield,450250001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Trenton,450370001,17.8,18.1,18.8,19.0,19.3,19.5,19.8,20.5,20.3,21.6,21.6,21.1,21.0,23.1,22.8,24.8,25.8,25.6,20.3,20.8,24.3,26.6,25.6,24.3
Trenton,450370001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Williams Middle Sch,450410003,14.8,14.0,14.6,16.8,17.0,17.8,27.8,20.6,21.1,25.1,28.5,26.6,27.3,26.5,26.3,28.3,31.8,32.3,28.6,24.6,18.5,16.5,13.0,14.1
Williams Middle Sch,450410003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Greenville-ESC,450450015,26.1,27.5,23.3,22.8,22.6,22.5,22.5,22.0,21.3,26.5,31.8,24.1,22.5,21.0,24.6,25.6,28.8,30.0,30.1,30.1,29.1,32.7,29.1,30.3
Greenville-ESC,450450015,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G
Coastal Carolina,450510008,15.3,15.9,16.3,17.0,17.1,16.8,16.8,17.0,17.1,18.5,22.3,29.6,25.3,24.1,25.3,26.3,28.6,21.6,18.6,19.6,20.8,22.6,22.5,23.0
Coastal Carolina,450510008,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Parklane,450790007,23.1,21.5,21.6,22.0,23.0,24.6,24.3,21.8,20.3,21.6,29.6,33.1,28.6,24.6,23.6,22.3,20.6,20.5,22.5,29.1,23.6,17.8,17.3,15.4
Parklane,450790007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
TK Gregg,450830011,31.3,35.1,34.0,31.6,33.7,34.2,33.2,32.7,29.3,26.3,31.0,33.7,30.6,28.3,30.3,31.6,30.3,26.1,24.3,23.6,23.1,23.1,23.3,24.1
TK Gregg,450830011,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Antananarivo,450MAD010001,29.0,33.0,24.0,20.0,19.0,13.0,11.0,16.0,13.0,20.0,24.0,33.0,31.0,28.0,24.0,24.0,12.0,15.0,16.0,10.0,6.0,7.0,13.0,41.0
Antananarivo,450MAD010001,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Kuala Lumpur,458MY1010001,-999,14.0,16.0,16.0,16.0,8.0,13.0,17.0,24.0,22.0,18.0,-999,16.0,20.0,16.0,19.0,12.0,10.0,11.0,14.0,12.0,20.0,13.0,13.0
Kuala Lumpur,458MY1010001,M,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G,G,G,G,G,G,G,G,G
Research Farm,460110003,11.3,13.9,10.4,9.4,10.5,9.6,10.4,9.1,16.1,25.1,22.8,17.8,17.1,17.3,9.6,8.6,7.2,7.2,8.9,7.7,7.7,8.9,10.9,8.6
Research Farm,460110003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Watertown,460290002,13.4,11.6,10.1,8.0,8.5,9.1,21.3,22.1,23.3,24.8,25.1,23.0,20.8,14.4,11.9,13.1,17.8,12.4,16.5,11.0,15.5,14.4,14.4,13.4
Watertown,460290002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
WIND CAVE,460330132,8.0,11.0,9.8,9.5,10.3,9.5,13.5,8.0,7.0,10.0,6.9,6.2,6.9,5.2,3.1,5.2,10.3,9.0,5.2,3.7,7.9,8.4,7.9,9.5
WIND CAVE,460330132,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Pierre,460650003,7.7,9.6,9.0,5.7,4.0,5.7,6.5,7.0,5.5,11.0,7.5,5.2,4.7,3.8,6.4,4.2,0.9,2.3,1.5,0.5,4.7,5.2,8.8,8.5
Pierre,460650003,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Badlands,460710001,6.7,5.5,7.7,9.0,11.0,9.1,8.9,10.0,11.6,7.2,6.7,13.8,-14.9,984.8,10.6,7.9,5.5,5.2,7.0,8.4,8.3,10.8,9.1,9.3
Badlands,460710001,G,G,G,G,G,G,G,G,G,G,G,G,B,B,G,G,G,G,G,G,G,G,G,G
Credit Union,461030020,10.0,9.5,9.0,7.5,10.0,11.5,7.2,10.8,11.1,10.1,14.6,14.1,9.0,6.0,5.5,5.5,6.0,6.7,7.0,5.9,3.3,7.5,8.3,9.3
Credit Union,461030020,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Bamako,466ML1010001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bamako,466ML1010001,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
MARYVILL,470090011,33.0,29.0,29.0,24.0,26.0,26.0,21.0,22.0,21.0,21.0,21.0,73.0,70.0,27.0,28.0,26.0,28.0,29.0,26.0,28.0,32.0,26.0,27.0,29.0
MARYVILL,470090011,G,G,G,G,G,G,G,G,G,G,G,B,B,G,G,G,G,G,G,G,G,G,G,G
Look Rock - GSMNP,470090101,26.0,23.0,27.0,29.0,29.0,29.0,26.0,31.0,34.0,32.0,-980,19.0,17.0,25.0,24.0,27.0,27.0,28.0,27.0,27.0,28.0,28.0,33.0,30.0
Look Rock - GSMNP,470090101,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G,G
LOCKELAND,470370023,44.0,46.1,38.0,37.2,36.7,36.7,37.7,37.6,39.8,39.0,38.0,38.2,35.2,31.3,29.1,28.5,28.0,29.1,30.3,28.8,29.1,29.3,32.7,30.5
LOCKELAND,470370023,B,B,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
DYERSBURG,470450004,15.4,13.9,14.0,16.5,14.6,17.5,17.1,17.1,17.1,23.1,25.8,30.1,31.1,26.1,28.0,24.8,17.8,18.6,20.8,18.6,19.8,13.0,15.1,12.9
DYERSBURG,470450004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
3A-PM2.5,470654002,19.3,21.3,21.8,22.1,22.8,22.6,23.5,23.6,28.1,29.8,28.3,30.3,32.2,29.0,29.8,28.1,25.3,26.3,27.8,29.3,3.6,0.0,0.0,0.0
3A-PM2.5,470654002,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,B,B,B
AIR LAB,470931013,36.6,35.3,34.2,35.0,34.2,34.3,35.1,32.2,30.5,31.0,31.8,32.1,31.3,29.6,30.1,30.6,30.1,29.6,29.3,29.6,29.3,29.0,24.6,23.3
AIR LAB,470931013,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SPRINGHILL,470931020,33.2,31.8,33.5,33.0,33.8,35.0,35.2,33.8,32.1,31.6,31.1,33.8,33.0,33.7,33.2,33.0,32.7,33.1,32.3,31.6,31.6,30.8,25.6,24.3
SPRINGHILL,470931020,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
LOUDONMS,471050109,21.0,19.0,22.0,19.0,26.0,20.0,21.0,26.0,25.0,30.0,27.0,31.0,28.0,28.0,26.0,29.0,35.0,25.0,26.0,25.0,36.0,29.0,27.0,29.0
LOUDONMS,471050109,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
ATHENS,471071002,20.0,20.0,20.0,17.0,19.0,15.0,21.0,99999.0,14.0,31.0,33.0,32.0,30.0,25.0,31.0,23.0,33.0,26.0,29.0,27.0,10.0,25.0,26.0,22.0
ATHENS,471071002,G,G,G,G,G,G,G,B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Columbia,471192007,11.6,19.0,20.6,15.4,15.8,16.1,11.5,8.0,19.1,16.6,21.8,21.8,18.8,18.8,18.1,21.1,20.1,18.3,16.6,19.8,21.6,18.8,18.5,21.8
Columbia,471192007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Cookeville,471410005,26.5,27.1,23.1,21.3,24.1,24.0,18.6,19.8,21.1,22.8,24.5,26.3,30.3,30.1,26.8,29.6,25.1,24.6,25.1,24.3,24.3,24.6,21.5,22.8
Cookeville,471410005,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Harriman,471450004,21.0,22.3,21.6,18.6,22.0,20.6,17.6,17.3,21.6,21.0,23.5,19.6,24.3,23.0,26.3,25.6,24.6,21.3,23.1,19.8,25.5,22.3,22.8,21.3
Harriman,471450004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SHELBY FARMS,471570075,31.8,31.1,30.8,29.6,26.1,26.8,27.5,27.1,29.6,29.3,22.8,22.1,20.3,21.3,22.8,24.3,26.0,27.5,28.3,29.1,28.8,28.5,25.8,25.3
SHELBY FARMS,471570075,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Kingsport,471631007,23.6,21.3,24.1,23.1,24.3,25.5,26.1,24.0,24.5,27.6,24.5,24.5,23.8,30.1,23.8,99999.0,17.3,8.3,11.1,10.9,10.8,8.0,7.2,5.7
Kingsport,471631007,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,B,G,G,G,G,G,G,G
HVILLE,471650007,37.7,31.8,36.3,33.5,31.6,28.8,25.6,-999,-999,32.1,14.0,34.7,28.8,26.6,27.1,27.3,26.3,24.5,25.6,22.6,22.6,24.5,25.1,23.6
HVILLE,471650007,G,G,G,G,G,G,G,M,M,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Temple Georgia C104,480271045,8.9,8.4,10.3,7.7,12.1,7.0,8.5,4.2,3.8,1.8,-999,530.0,46.1,8.3,14.5,9.0,8.0,8.3,9.5,-999,11.9,12.0,15.0,10.8
Temple Georgia C104,480271045,G,G,G,G,G,G,G,G,G,G,M,B,G,G,G,G,G,G,G,M,G,G,G,G
San Antonio Northwe,480290032,11.0,15.0,14.0,10.0,10.0,9.0,9.0,10.0,12.0,8.0,11.0,13.0,9.0,11.0,13.0,10.0,7.0,20.0,6.0,-999,11.0,7.0,4.0,13.0
San Antonio Northwe,480290032,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Calaveras Lake C59,480290059,5.2,8.4,5.5,5.2,5.0,7.7,7.5,4.7,5.9,3.0,5.5,8.8,1.3,8.5,6.5,6.2,13.3,9.0,7.4,-999,7.4,10.9,8.0,14.1
Calaveras Lake C59,480290059,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
San Antonio Palo Al,480290676,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
San Antonio Palo Al,480290676,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
San Antonio Old Hwy,480290677,13.5,14.3,14.8,15.1,12.9,12.0,10.6,10.0,12.0,11.9,9.0,7.0,7.5,5.0,8.0,7.0,0.0,3.1,6.9,7.2,8.6,10.4,17.6,19.8
San Antonio Old Hwy,480290677,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
San Antonio IH35 C1,480291069,10.0,10.0,19.0,8.0,10.0,10.0,15.0,10.0,17.0,13.0,13.0,10.0,10.0,8.0,9.0,10.0,14.0,15.0,11.0,-999,15.0,12.0,10.0,12.0
San Antonio IH35 C1,480291069,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Texarkana New Bosto,480371031,24.0,21.0,24.0,23.0,25.0,24.0,24.0,22.0,24.0,29.0,28.0,22.0,24.0,29.0,23.0,26.0,24.0,20.0,23.0,-999,22.0,29.0,22.0,27.0
Texarkana New Bosto,480371031,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Big Bend  NP,480430101,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,14.0,9.0,20.0,18.0,-2.0,-999,-999,-999,58.0,1.0,-999,0.0,-1.0,12.0,-999
Big Bend  NP,480430101,M,M,M,M,M,M,M,M,G,G,G,G,G,G,M,M,M,G,B,M,G,G,G,M
Brownsville C80,480610006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Brownsville C80,480610006,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Isla Blanca C323/C6,480612004,5.0,5.0,0.0,0.0,2.0,2.0,2.0,3.0,6.0,6.0,14.0,8.0,4.0,2.0,5.0,3.0,8.0,3.0,6.0,-999,1.0,7.0,5.0,7.0
Isla Blanca C323/C6,480612004,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Dallas Hinton St. C,481130069,7.0,7.0,10.0,8.0,9.0,12.0,11.0,12.0,18.0,15.0,15.0,13.0,11.0,12.0,14.0,13.0,11.0,13.0,13.0,-999,13.0,10.0,6.0,3.0
Dallas Hinton St. C,481130069,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Denton Airport Sout,481210034,5.0,6.0,8.0,9.0,7.0,5.0,5.0,9.0,6.0,15.0,21.0,18.0,16.0,19.0,13.0,14.0,16.0,17.0,9.0,-999,14.0,2.0,1.0,10.0
Denton Airport Sout,481210034,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,G,G
Odessa Gonzales C10,481351014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.0,12.0,7.0,7.0,9.0,5.0,4.0,4.0,7.0,-999,5.0,7.0,8.0,-6.0
Odessa Gonzales C10,481351014,M,M,M,M,M,M,M,M,M,M,G,G,G,G,G,G,G,G,G,M,G,G,G,B
Midlothian OFW C52,481390016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Midlothian OFW C52,481390016,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Italy C1044,481391044,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Italy C1044,481391044,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
El Paso UTEP C12,481410037,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
El Paso UTEP C12,481410037,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
